24.63	9.90	0.2	3.3	0	0
2.22	0.20	0.2	3.3	0	0
10.83	5.40	0.2	3.3	0	0
29.66	10.22	0.2	3.3	0	0
20.63	0.20	0.2	3.3	0	0
20.63	8.51	0.2	3.3	0	0
12.03	6.09	0.2	3.3	0	0
19.63	17.86	0.2	3.3	0	0
10.43	2.62	0.2	3.3	0	0
20.46	19.92	0.2	3.3	0	0
20.63	3.66	0.2	3.3	0	0
21.46	18.88	0.2	3.3	0	0
31.43	23.24	0.2	3.3	0	0
23.43	10.59	0.2	3.3	0	0
4.62	17.52	0.2	3.3	0	0
11.03	2.97	0.2	3.3	0	0
25.26	24.08	0.2	3.3	0	0
16.63	10.59	0.2	3.3	0	0
17.06	27.20	0.2	3.3	0	0
31.80	27.09	0.2	3.3	0	0
22.06	19.92	0.2	3.3	0	0
20.26	22.35	0.2	3.3	0	0
0.55	11.96	0.2	3.3	0	0
4.22	15.44	0.2	3.3	0	0
29.26	8.14	0.2	3.3	0	0
22.03	14.40	0.2	3.3	0	0
2.01	3.31	0.2	3.3	0	0
12.23	0.20	0.2	3.3	0	0
17.43	21.67	0.2	3.3	0	0
2.42	8.86	0.2	3.3	0	0
1.01	2.97	0.2	3.3	0	0
3.42	1.58	0.2	3.3	0	0
13.83	5.74	0.2	3.3	0	0
0.96	10.57	0.2	3.3	0	0
30.52	17.11	0.2	3.3	0	0
4.63	0.89	0.2	3.3	0	0
22.66	16.11	0.2	3.3	0	0
2.48	21.57	0.2	3.3	0	0
23.66	23.39	0.2	3.3	0	0
20.46	20.61	0.2	3.3	0	0
7.42	20.29	0.2	3.3	0	0
12.23	20.98	0.2	3.3	0	0
4.09	26.19	0.2	3.3	0	0
26.52	24.04	0.2	3.3	0	0
7.33	24.14	0.2	3.3	0	0
9.22	17.86	0.2	3.3	0	0
31.80	25.89	0.2	3.3	0	0
30.26	9.18	0.2	3.3	0	0
18.43	13.01	0.2	3.3	0	0
11.63	4.70	0.2	3.3	0	0
21.86	17.50	0.2	3.3	0	0
9.63	7.47	0.2	3.3	0	0
10.69	26.74	0.2	3.3	0	0
9.22	22.02	0.2	3.3	0	0
24.26	15.42	0.2	3.3	0	0
29.52	26.46	0.2	3.3	0	0
28.26	16.11	0.2	3.3	0	0
5.03	0.20	0.2	3.3	0	0
13.23	23.41	0.2	3.3	0	0
25.43	7.82	0.2	3.3	0	0
10.43	7.47	0.2	3.3	0	0
18.23	0.89	0.2	3.3	0	0
1.59	16.56	0.2	3.3	0	0
29.43	2.97	0.2	3.3	0	0
9.82	19.60	0.2	3.3	0	0
13.83	23.06	0.2	3.3	0	0
10.23	15.44	0.2	3.3	0	0
26.43	6.78	0.2	3.3	0	0
19.23	16.48	0.2	3.3	0	0
